Stim 1 Name,,,,
Onset,Duration,Amplitude,Extra1,Extra2
31.1984,10,1,5,20
61.1969,10,1,10,40
91.1953,10,1,15,60
121.1938,10,1,20,80
151.1923,10,1,25,100
181.1907,10,1,30,120
211.1892,10,1,35,140
241.1877,10,1,40,160
271.1861,10,1,45,180
300.1846,10,1,50,200
331.1831,10,1,55,220
361.1815,10,1,60,240
,,,,
Stim 2 Name,,,,
Onset,Duration,Amplitude,Extra1,Extra2
40,10,1,20,5
70,10,1,40,10
100,10,1,60,15
130,10,1,80,20
160,10,1,100,25
190,10,1,120,30
220,10,1,140,35
250,10,1,160,40
280,10,1,180,45
310,10,1,200,50
340,10,1,220,55
370,10,1,240,60
